职位名称,职位薪资,员工福利,招聘条件,公司位置,职位描述,公司介绍,课程介绍,培训机构介绍,公司名称,公司业务,公司规模,简历查看率,招聘职位,加入58
运动健身其他,8000-12000元/月,求职保障;包住;包吃,"招10人;学历不限;经验不限,可接收应届生",广州-白云-西槎路 广州市白云区西槎路99号骐利广场4楼,"【岗位要求】
1.学历不限，工作经验不限，18到35岁，身高男160cm以上，女150cm以上，身体健康，无传染性疾病。
2.工作踏实，责任心强，自信，阳光。
3.热爱运动，有无经验皆可，愿意从零开始学习健身并有志于在健身行业发展，欢迎热爱运动的人转行从事健身教练，公司提供3个月的学习平台。
【公司福利】
1、月度奖励、年终奖励。
2、自由的管理制度，完善的晋升体系。
3、训练期间和上岗期间均包吃住。
4、五险一金。
5、上班时间：下午2点到晚上10点，月休4-6天。
6、工作地点：按照自己意愿选择在全国范围内选择。","GOODNESS古德力思-中国零基础高端教练人才孵化基地；11年专注运动科学研究和实践经验、超30000平米的高端科技化培训场地、全国近5000家就业渠道资源；近4000名高级私人教练再进修学习基地；古德力思秉承技能为核心、以就业为导向、集结了行内数十名超级培训导师，借鉴于国内当下整体行业的人才需求特质，我们研发了属于自主版权的完整教学课程体系，在行内赢得了良好的口碑且毕业学员就业率达到100%。旗下品牌《携成体育》百万私教锻造营更是行内最具专业水准的再进修课程和管理人才孵化平台；通过多年实践经验积累，使得古德力思发展成为了集健身技术创新、零基础教练高薪培训、健身教练专业性再进修服务为一体的新型综合教育机构。
精心教学/匠心育人
古德力思秉承个性化教学，为提升全民健身标准、提高职业健身教练专业培训质量为己任。使得每一个学员都能独立掌握核心技术-师传施教、技术延伸与创新、音乐编辑与制作、高级私教运营与管理、团队建设等高端专业体系；竭诚为整体行业的人才输送及学员的高薪就业保驾护航。",免费试听;包就业;小班授课;面对面;高薪就业;零基础速成;线下授课;广州市白云区西槎路99号骐利广场4楼,中国零基础高端教练人才孵化基地；11年专注运动科学研究和实践经验、超30000平米的高端科技化培训场地、全国近5000家就业资源；近4000名高级私人教练再进修学习基地；古德力思秉承技能为核心、以就业为导向、集结了行内数十名高级导师，借鉴于国内整体行业的人才需求特质，我们研发了属于自主版权完整教学课程体系，在行内赢得了良好的口碑且毕业学员就业率达到100%,广州市韦特健身有限公司,教育/科研/培训+咨询/顾问 +娱乐休闲/餐饮/服务,100-499人,100,81,11月
礼仪/迎宾,5000-8000元/月,周末双休,"招8人;学历不限;经验不限,可接收应届生",广州-白云-嘉禾望岗 广州白云嘉禾望岗,"应聘者认真查看招聘信息：
拍摄内容简单大众化无需要经验，可以接受新人。没有你想像中的那么高要求的。主要是兴趣爱好者优先。
正规拍摄，无暴露内容拍摄，有室内影棚拍摄和外景街拍。
每天拍摄1-3小时可根据业余时间安排。各区可就近拍摄点安排！
要求：MM18-50岁
主要拍摄：服装、古装、汉服、婚纱、礼服、首饰、旗袍、化妆品、香水、鞋帽箱包等平面麻豆；以及海报、周刊杂志宣传等.性格活泼开朗，善于沟通，具备较强责任心，不随意缺席拍摄工作：能深入理解拍摄主题，根据不同的主题摆pose,配合摄影师高效率高质量完成拍摄任务
1、微胖大码可中大龄；主要为商家拍摄大码或加大码衣服图片样板要求：MM：18-55岁，身高150以上。GG：18-30岁身高165以上，整体形象好，阳光活泼。胖不是缺点，看展现在什么地方，要相信微胖是较好的身材，也相信我们公司可以让你成为较美，不浮躁。
2、平面拍摄；MM：150以上，GG：165以上身材适中偏瘦、日韩风格或者韩版和小英伦风格与职业休闲风格为主。职业装/休闲装/运动装/学生装等.身材匀称,肢体语言协调。
3、中大龄服装；旗袍以及新款服装试衣模特(可微胖身材均匀即可）
年龄在20-50岁，身高不限体型匀称有自信有气质优雅成熟风韵的人，有无经验均可报名面试，以网店实体店的中年新款服装以及旗袍为主。
4，大龄婚纱礼服
要求：婚纱礼服。身高155以上、皮肤好、外形时尚，爱拍照，主要负责中码，
没有苛刻的要求,没有专业的技巧,需要的只是与广告片中角色的对位,是你身上某个闪光的亮点,也许是眼睛,也许是头发,也许是你的双手,也许是你的背影.
蝴蝶看不到自己的翅膀，所以他们不知道自己有多美，但是其他人都能看到它们的美。人亦如此。?
,不管你有没有经验，但是你一定要有一颗敢于尝试的心，如果你连尝试都不敢，那就连失败的机会都没有了。
欢迎业余爱好者的加入，不管你是否有经验我们都一视同仁",本公司以“诚信、品质、创新、服务”为准则，希望我们能为您提供一流的产品和较快捷、较专业的服务！公司自成立至今，我们始终坚持“诚信、品质、创新、服务、速度”十字经营方针，对待客户、合作伙伴坚持诚信为先，我们要为客户不断提供高品质的产品和及时周到的服务，并不断创新，提高我们的服务能力，在此基础上不断地优化我们的组织结构和工作流程，使我们的企业得到健康成永续经营.摄影服务范围：电商产品摄影、产品静物摄影、产品模特拍摄、个人写真、画册catalog拍摄、婚礼跟拍、会议活动摄影。（服装类、产品类静物拍摄可以免费试拍）具体如下：1、服装摄影：提供专业模特，拍摄淘宝内景外景等电商摄影；2、产品静物摄影：服饰、鞋帽、箱包、化妆品等，商业广告静物类拍摄,,,成都甯莜文化传媒有限公司,文体/影视/艺术,100-499人,0,161,4月
制作执行,4500-7000元/月,包吃;包住;饭补;定期活动,"招4人;学历不限;经验不限,可接收应届生",广州-白云-石井 夏茅帮定电商仓储园B栋三楼,"岗位职责：
1、根据生产主管安排完成生产任务，主要工作是喷绘后期过膜、裱板、裁切、清单、打包；
2、团队协助，配合分工；
3、维护好区域卫生；
任职资格：沟通理解能力强、有团队意识、好学肯干；
优势：公司从事本行业十几年，重不拖欠工资，口啤良好，有完善的晋升机制，付出必有回报！",广州市交点广告制品有限公司成立于2004年，是专业的环保喷绘企业，无味、无毒，专注数码喷绘13年，拥有十多台进口写真数码打印设备、先进的UV设备，厂房面积达2000多平方米，拥有40多名专业员工，自主的产品生产，售后服务保障等竞争力强。,,,广州市交点广告制品有限公司（广州市交点广告有限公司）,广告/创意,1-49人,39,13,110月
娱乐厅服务员,8000-10000元/月,包住;包吃;饭补;房补,"招2人;学历不限;经验不限,可接收应届生",广州-白云-江夏 广州白云YH城B275,"工作内容：
颁奖，剪裁，各类大中小晚会
待遇：保底6千+抽成(每场200～800不等)+吃住+薪资十天一结
要求：女性，18～30岁，身高1.54以上，整体形象好，性格开朗，时间自由尽量能跟团队外出
声明备注：公司不会以任何借口为名义交付任何费用，公司有试用期，后期如有不符可随时辞职走人",广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司广州艺琪鑫文化传播有限公司vv,,,广州艺琪鑫文化传播有限公司,其他行业,1-49人,-1,32,2月
保洁,3000-3500元/月,五险一金;包吃;包住;年底双薪;月休4-5天;免费体检,"招3人;学历不限;经验不限,可接收应届生",广州-花都-花东 广州花都花东镇富力金港城金港北一路4号富力物流园办公大楼,"职位要求：
1、年龄45岁以下，身体健康，无不良嗜好；
2、工作认真，服务意识强，能吃苦耐劳；
3、有相关清洁工/绿化工经验者优先考虑。
工作时间：7:30-11:30,13:30-17:30，月休4-5天。
如符合以上要求，可自行过来公司面试。
面试时间：周一至周五：上午9:00-11:30；下午13:30-16:30","广州富力国际空港综合物流园有限公司是股份有限公司旗下全资子公司。园区项目占地面积1470亩，位于广州空港经济圈核心，毗邻广州新白云国际机场，与周边的京珠高速、机场高速延伸线、广清高速、北二环高速、环珠三角高速、花都港码头等形成了立体的交通体系、区域产业密布。
凭借便捷的交通网络，我司建成以白云机场和为依托的物流枢纽、国际货物联运的周转中心、区域性的配送中心、进出口贸易基地、简单加工和装配基地。是集仓库、厂房、研发基地、办公楼、商场区和住宅于一体的具有现代化高标准、高效能物流园区；成为政府重点发展和支持的大型现代化综合性国际物流园区，是发展航空物流和区域产业配套物流的绝佳地点。
主要从事大型专业仓储的租赁，运营管理，日常维护；普仓、楼仓、冷库等多元化仓储运营管理工作。
富力物流园具备完善的工作和生活配套环境，为员工和客户提供办公、就餐、住宿、交通车等服务，欢迎各界人士莅临应聘和商务洽谈。",,,广州富力国际空港综合物流园有限公司,房地产/物业管理,100-499人,30,14,16月
微信推广,6000-8000元/月,求职保障;五险一金;包住;年底双薪;周末双休;饭补;房补;职业培训,"招6人;中专;经验不限,可接收应届生",广州-番禺-大学城 广州番禺大学城北站,"在线咨询，优先接受！
适合人群
1：18-30周岁，硬性要求，不符勿扰
2：迷茫不知道做什么，不了解当前社会行业发展趋势
3：薪资低，不稳定，想要找一份长期稳定发展的工作的
4：想月入过万，每年涨薪，越做久薪资越高的
5：想挑战高薪买车买车过想要的生活的
6：对计算机感兴趣的！对互联网行业感兴趣的！
先培训，培训完成之后推荐都相关职位实现就业。此职位只是说明学习后能胜任类似岗位工作，并非公司实际招聘需求","技术转移只是开始，创业孵化也不是终点站。从2019年开始，青蓝致远启动创业孵化，帮助每一位创业者打通创业直通车，同时促成投融资机构挖掘黄金项目。伴随广州创新创业大赛、中国（广州）创新创业大赛成功举办，青蓝致远作为秘书处单位的知名度不断扩大，通过“培训+创赛+孵化”的创新商业模式，打造全新的青年创业发展生态体系——创业二路创客空间、青蓝致远众创空间，一方面协同龙头骨干企业与创客主体，优化配置技术、装备、资本、市场等创新资源，实现与中小微企业、高校、科研院所和各类创客群体有机结合；另一方面通过聚集科研院所、高校等高端创新资源，增加源头技术创新有效供给，为创客们提供专业化服务。创业二路和新研众创空间在2019年1月分别获得了国家科技部众创空间认定。
青蓝人以踏石留印、抓铁有痕的劲头，立言立行、善做善成的作风，不忘初心，继续前进。",零基础速成;名企就业;免费试听;推荐就业;小班授课;面对面;名师授课;高薪就业;线下授课;广州番禺大学城北站,广州青蓝致远是一家以互联网平台运营、WEB应用开发、软件开发、大数据分析、移动互联网通讯技术、云计算、营销推广、技术培训等为核心的科技公司。我公司主要以技术研发创新为主导，把握互联网行业的需求，利用互联网核心技术为客户提供稳定、可靠、功能优异的软硬一体解决方案。我们公司已推出十几个行业的解决方案，跟多家企事业单位合作，已经广泛应用于加盟店、连锁店、医院、商场、咖啡厅、KTV、商业地产、旅游景点、快捷酒店等行业，我们在北京、济南、武汉等地区分别设立项目部，进行项目沟通与交付。我们秉承“为合作伙伴创造价值”的核心价值观，并以“诚实、宽容、创新、服务”为企业精神，通过自主创新和真诚合作为互联网及信息服务行业创造价值。,广州博才科技开发有限公司,其他行业,100-499人,80,36,11天
置业顾问,8000-12000元/月,五险一金;房补;包住;话补;交通补助;无需学历无需经验;地铁口黄金位置;门店客源丰富,"招50人;学历不限;经验不限,可接收应届生",广州-海珠-东晓南 广州海珠区南洲北路34号裕丰地产（东晓南地铁A出口直行50米即到）,"广州裕丰咨询顾问有限公司成立于1995年，是华南地区规模较大，较具影响力的房地产中介服务机构之一。公司拥有员工15000多人，已达1000多间分公司，遍布广东主要城区。
薪酬待遇：底薪2000+现金奖10%+全行业较高业绩提成（直提56%-86%）+社保+福利+管理提成+股+每月省内外旅游+年度国外旅游
每两个月一次晋升机会，普通业务员也可以升任为经理。团队裂变继续享受管理提成和分红，晋升没上限且不受上级压制！在这里你就是经营自己的一盘生意，而不是一个员工。
岗位职责：
公司注重人材培养，无行业经验者，均可由专业人士带新人入行，公司有专业的房地产销售培训课程。
1、负责客户的上门接待、咨询工作，为客户提供专业的房地产置业咨询服务；
2、陪同客户看房，促成房屋成交
3、负责公司房源开发与积累，并与业主建立良好的业务协作关系。
任职要求：
1、年龄在18-45周岁
2、诚实守信，吃苦耐劳，具有良好的团队精神；
3、能承受较强的工作压力，愿意挑战高薪；
4、团队意识强，责任心强；吃苦耐劳，有较强责任心和兢业精神
，有志于房地产行业的择优录取，你的能力有多大，我们的舞台就有多大！
5、无需学历无需经验，房产精英师傅一对一带教上岗
我公司待遇优厚，一年2次国外旅游。年中海边游！综合年薪15-20万+
佣金直提56%-86%（无需跳点），租赁佣金当天发放。","广州裕丰咨询顾问有限公司（简称“裕丰地产”）成立于1995年，是华南地区规模较大，较具影响力的房地产中介服务机构之一。公司拥有员工15000多人，全国超高1000多间分公司，遍布全国主要城区。
裕丰地产始终坚持以“帮助房地产经纪人成就终身事业为己任”的理念，致力于打造一个共同发展、共同富裕的事业平台，我们邀请有成功欲望的您，与我们一起再创辉煌。近年来，裕丰地产运用创新的房地产中介商业模式，始终坚持以“帮助房地产经纪人成就终身事业为己任”的理念。令裕丰地产聚集了大批的行业精英。由于拥有这样一支高素质的专业团队，近年来裕丰地产高速发展，获得了令同行瞩目的业绩。如今，裕丰地产已成为经纪人开创事业的良好平台。
裕丰人深知作为一个优秀的企业，必须具有高度的社会责任感及使命感，并且拥有良好的企业文化。裕丰地产自创建以来，始终倡导以儒家思想中的“礼”、“信”、“仁”为指导思想，构建并形成了团结和谐、诚信为本的企业文化。
　　在以“礼”、“信”、“仁”为核心的企业文化指导下，成功建立了一套民主而又高效的企业管理体制，令每一个裕丰人在富有希望的平台上获得阳光公平的晋升机会。正是这一支充满拼劲和活力的团队，为千万客户提供了优质的居间服务。
　　裕丰人，坚信，在“客户满意、员工满意、社会满意”的企业宗旨引领下，以及拥有这样一支遵纪守法、凝聚力强、能征善战的经纪人团队，加以创新的商业模式及良好的企业文化熏陶，裕丰人必将开创房地产中介行业的新纪元。
二、裕丰所获荣誉
2009中国较具成长力房产中介机构
2010年度华南十大品牌中介机构
2014年度广州较具品牌影响力中介公司
广州市房地产中介协会副会长单位
广州市房地产中介行业星级服务机构
2015年度广东省地产支柱品牌
2013年度中国好商家网络营销创新奖
2014年度中国好商家优秀房产经纪公司
2014年度新浪乐居诚信品牌经纪公司
2015年度中国房地产业协会阳光联动战略合作伙伴
2015年度中国房地产业协会网络认证真房源品牌先锋企业
公司注重人材培养，无行业经验者，均可由专业人士一对一培养，公司有专业的房地产销售培训课程。
分店地址：广州市海珠区南洲北路34号（东晓南A出口直行50米）
业务范围：主打海珠二手，涵盖整个广州佛山中山肇庆等珠三角各大城市一手房产业务。",,,广州裕丰咨询顾问有限公司（裕丰地产）,中介/专业服务+互联网/电子商务+房地产/物业管理,1000人以上,67,10,25月
签约艺人,12000-18000元/月,五险一金;包吃;年底双薪;饭补;房补;包住,"招200人;学历不限;经验不限,可接收应届生",广州 合景国际金融广场,"一、岗位要求:
1.满18周岁，相貌端正，形象气质佳，性格外向，敢于秀出自我，思维活跃，有才艺优先。
2.临场思维敏捷，具有较强的语言表达能力和现场操控应变能力。
3.热爱媒体事业，工作态度积极主动，具备良好的敬业精神和职业操守。
4.没有经验的公司可培训，在校大学生亦可
（15天左右可独立出播）。
5.应届毕业生就业实习期予以高评分（实习生）
二、岗位职责：
1、负责公司平台直播，才艺表演
2、维护直播正常秩序
3、能够自主策划直播聊天话题，主动与粉丝在线交流
4、没有经验有专人培训，在校大学生亦可
5、热爱媒体事业，工作态度积极
三、薪酬待遇:
全职保底+提成+高奖金+五险一金+包吃住
四。——值此直播市场火热的大环境下，凡新进主播，公司将全方位免费为主播提供专业培训指导、实时场控扶持推广、粉丝经营扶持、人气流量扶持、产品培训扶持。助力新进主播快速进入角色，产生业绩，欢迎各地区有梦想求职者加入我们，实现自己的主播梦想","东云创意文化传播有限公司，诞生于2014年，总部位于广州，于北京、上海、深圳、成都、济南、香港、分别设有分公司及运营团队。我们是华南前十公会传媒，现全面向全国大量招募优质主播以及零基础主播和经纪人！
公司拥有较多优质活跃艺人主播，拥有从招聘、培训、养成、到变现的一整套模式，
主营业务分别有垂直内容IP孵化、新媒体营销服务、电商供应链整合、网红电商、数字营销技术、电商产业园投资运营、文化创投等。欢迎更多的有志之人加盟公司与公司共发展。",,,东云创意（广州）文化传播有限公司,互联网/电子商务+娱乐休闲/餐饮/服务,1000人以上,0,5,6月
迎宾/接待,3100-4000元/月,五险一金;包吃;包住;全勤奖;绩效奖;带薪年假,"招8人;学历不限;经验不限,可接收应届生",广州-越秀-解放北 广州越秀解放北路603号禧缘金宴,"岗位职责：
1、做好消费宾客的迎、送接待工作，接受宾客各种渠道的预定并加以落实；
2、详细做好预订记录；
3、了解和收集宾客的建议和意见并及时反馈给上级领导；
4、以规范的服务礼节，树立公司品牌优质，文雅的服务形象。
任职资格：
1、女性，年龄18—28周岁，身体健康，身材匀称、五官端庄。
2、具有良好的沟通协调能力及服务意识，反应灵敏，端庄大方、举止文雅；
3、敬业乐业、具有较强的责任心和吃苦耐劳的职业素养。
工作时间：8小时",广州市禧缘金宴餐饮有限公司是创盈金银集团整合业界***资源，坚持以洞察客户需求为基础，智创更高层次的精品婚礼品牌的多元化经营企业。禧缘金宴为打造广州大型婚庆一站式服务，彰显创盈专业婚庆酒宴品牌，特将地址设于得天独厚的广东迎宾馆原宴会厅内--广州市中心*园林式酒店，著名的北京路商业步行街信步可达，毗邻地铁较大的公园前站，与交易会、火车站仅数里之隔。,,,广州市禧缘金宴餐饮有限公司,娱乐休闲/餐饮/服务,100-499人,7,27,39月
置业顾问,6000-10000元/月,五险一金;包住;话补,"招50人;学历不限;经验不限,可接收应届生",广州-天河-东圃 广东省广州市天河区东圃分公司,"销售/市场营销：15名
职位要求：
1：毕业，应届生，实习生都招（实习生签署实习协议，可以申请实习证明盖章。）
2：男女皆可，16-34岁，学历不限。
3：日常负责跟进客户，网络推广，促进成交拿提成。
4：无同行经验。
薪酬待遇
无责任底薪+50%提成+现金奖+五险一金+周休一天（调休）（提成不封顶）
公司福利待遇
1：只要有业绩，都有晋升的机会。
2：公司团建团餐、旅游。
3：法定节假日，法定婚嫁，产假，年假，节日礼包等等。
4：一对一包培训，免费带教。",,,,广州裕丰咨询顾问有限公司,中介/专业服务,1000人以上,54,5,9月
